,title,link,date,play_count,danmu_num,favorites,author
47,【rap歌手YJJ】最新单曲《一枪爆头》Skr~Skr~,http://www.bilibili.com/video/av29079021,2018-08-11,430978,1139,3471,天天卡牌
48,【周立波】病名为爱,http://www.bilibili.com/video/av29494409,2018-08-17,430477,5425,11820,痒局长
49,【猫和老鼠】全程高能搞笑配音,http://www.bilibili.com/video/av28691181,2018-08-07,427045,2139,3498,夜场小丸子
50,燃烧我的fa♂路里,http://www.bilibili.com/video/av30425422,2018-08-27,414981,4363,15804,逗比宇
51,【奥巴马】奥巴马上美国好声音，霉霉转身后都惊呆了,http://www.bilibili.com/video/av30589315,2018-08-29,413244,427,1298,呆萌爱迪笙
52,用抖音的方式打开哲♂学,http://www.bilibili.com/video/av28840583,2018-08-08,400706,1377,5091,小黑的白尾巴
53,【方言rap】赵丽蓉奶奶教你说唐山话,http://www.bilibili.com/video/av29998486,2018-08-22,391362,1747,9520,倒悬的橘子
54,【朱一龙】轮到冯豆子来给你洗脑(传销)了—您听说过修管道吗？,http://www.bilibili.com/video/av28487844,2018-08-04,388717,4803,41294,舔一美的小萝卜
55,惊天动地的对决——诸葛雷神大战奇异司徒,http://www.bilibili.com/video/av28405648,2018-08-03,386309,3402,5407,修2
56,【梦想三巨头】后街女孩-01,http://www.bilibili.com/video/av29652239,2018-08-18,377626,1819,8636,浅澄月
57,当用MC的音效配音猫和老鼠会怎么样 第一期 TNT风波,http://www.bilibili.com/video/av28851128,2018-08-08,377468,3965,9681,影末子
58,你听过这么爆炸的哲♂学吗？,http://www.bilibili.com/video/av29593919,2018-08-17,376697,2216,11377,瞬间爆炸型LowSing
59,【鬼畜新说唱】还记得那些可以唤起你回忆的童年广告吗？,http://www.bilibili.com/video/av28865934,2018-08-09,371829,2453,16260,推背兔の
60,一起学猫叫的方式打开燃烧我的卡路里,http://www.bilibili.com/video/av29878042,2018-08-20,356893,1429,10497,鸡鸡·夫斯基
61,【全明星】爱（鬼）情（畜）公寓,http://www.bilibili.com/video/av29192071,2018-08-13,349068,1442,11954,曦曜君
62,【孙笑川哭诉Rap】这本草纲目我看哭了你们呢？,http://www.bilibili.com/video/av28686895,2018-08-06,340611,875,7036,星星星星皇
63,【鬼畜】旭旭宝宝挑战一代宗师蓝拳李永,http://www.bilibili.com/video/av29469942,2018-08-16,337036,873,1843,摩西Five
64,【重庆娃rap】娃儿都要尊严,http://www.bilibili.com/video/av30401768,2018-08-27,336902,1361,9122,枪弹轨迹
65,观看时请捂住头部,http://www.bilibili.com/video/av29081843,2018-08-11,335167,1683,9451,方向Ww
66,【全明星】毁童年的真香超兽武装,http://www.bilibili.com/video/av28701509,2018-08-07,329902,1689,11333,糖糖糖糖饼
67,【某幻君】一口气全念对,http://www.bilibili.com/video/av28337676,2018-08-02,320948,2044,10164,-三沐-
68,【大司马】见过这么高能的ID吗？,http://www.bilibili.com/video/av30069787,2018-08-23,319589,401,4961,铁头羊丶
69,【猫和老鼠】燃烧我的卡路里！！,http://www.bilibili.com/video/av29389058,2018-08-15,315392,1872,9382,咕哒兰
70,【特朗普】躲过98次98k（重制版）,http://www.bilibili.com/video/av29637527,2018-08-18,310160,858,3037,呆萌爱迪笙
71,（面筋哥）奇迹再现,http://www.bilibili.com/video/av30372839,2018-08-26,308838,1089,1924,max芝麻
72,【血小板】handclap,http://www.bilibili.com/video/av28825914,2018-08-08,293569,2335,14862,小学生是我师父
73,【舞法天女】卡路里？朵蜜你！,http://www.bilibili.com/video/av29460708,2018-08-16,289801,5085,7697,浅唱、那回忆
74,【王境泽剧场】迷失森林,http://www.bilibili.com/video/av29704218,2018-08-19,285666,1909,8907,新日暮里娼片公司
75,【黑镖客】当BUG解说碰到灵魂游戏,http://www.bilibili.com/video/av29177457,2018-08-12,278888,1179,7924,菲林君
76,我们就是异♂类，管你的感受？,http://www.bilibili.com/video/av30691764,2018-08-30,273318,4321,14661,上海滩许Van强
77,【朱广权rap】热skrrrr人!feat.吴亦凡,http://www.bilibili.com/video/av28704069,2018-08-07,268523,1193,6627,龙大人不喷火
78,【锡兰鬼畜】土味情话在线教学,http://www.bilibili.com/video/av29931624,2018-08-21,263484,1604,7401,昔日友人
79,【杨超越X王思聪】好运来,http://www.bilibili.com/video/av30097121,2018-08-23,259667,3445,5341,龙大人不喷火
80,【鬼畜新说唱】河南大妈教你做人,http://www.bilibili.com/video/av29845870,2018-08-20,244879,1651,10596,calmeva
81,【面筋哥】雷欧也要烤面筋?可带劲了！,http://www.bilibili.com/video/av28242160,2018-08-01,242176,1475,4089,形而上的鲁迅
82,【中国boy】唱《Lemon》,http://www.bilibili.com/video/av29148213,2018-08-12,239875,2981,9216,UP-Sings
83,【鬼畜配音】光头强的8848钛金手机重制版,http://www.bilibili.com/video/av30203256,2018-08-24,235493,2071,4113,王鐡著
84,轮到萌妹子们来给你洗脑了！,http://www.bilibili.com/video/av28901942,2018-08-09,230415,1499,5259,痒局长
85,【普通的操盘手】文森特之子 国服第一操盘手：节奏,http://www.bilibili.com/video/av30355111,2018-08-26,222913,820,2424,芝士蜜蜜啦
86,【LexBurner】学猫叫,http://www.bilibili.com/video/av28849826,2018-08-09,221460,1114,5153,枫之叶feng
87,【鬼畜配音】海绵宝宝 第⑤集,http://www.bilibili.com/video/av29931703,2018-08-21,220525,900,2686,一脸茫然的皮皮虾
88,鬼畜配音《海贼王》去找吧我把全世界的财宝都放在那里,http://www.bilibili.com/video/av29694660,2018-08-18,215595,1544,3424,你的昵称叫男孩子
89,一个孙笑川的自我修养,http://www.bilibili.com/video/av30656177,2018-08-30,212287,459,6162,沈阳探险家
90,【剧版镇魂】巍澜高能RAP  点开沙雕 收获快乐,http://www.bilibili.com/video/av29063951,2018-08-11,211073,1830,31122,hlw不是个球
91,游戏王对决，鬼畜与动漫的宿命对决,http://www.bilibili.com/video/av29144243,2018-08-12,205280,1827,3771,自由的俘虏
92,【五五开】伤不起,http://www.bilibili.com/video/av29551348,2018-08-17,203739,1831,11517,冰绎
93,【猫和老鼠】 汤姆对血小板有多痴迷,http://www.bilibili.com/video/av29430466,2018-08-15,203274,3643,5541,Red丶bag
94,王司徒VS诸葛亮-炉石传说的对决（下）,http://www.bilibili.com/video/av27996529,2018-08-01,202655,893,1389,随风而去的鲁大师
95,【主播真鬼畜】15：大司马“燃烧我的卡路里！”,http://www.bilibili.com/video/av30212560,2018-08-24,200436,1081,3039,马尚可
96,【漫威新说唱】蚁人竟然得到了吴亦凡导师的skr skr？,http://www.bilibili.com/video/av30783736,2018-08-31,197745,740,1603,还有一天就放假了
97,【五五开】代替波澜哥上中国梦之声,http://www.bilibili.com/video/av28841150,2018-08-08,196357,1325,5880,告辞怪禁符
98,【全明星rap】新说唱绝密片段流出，神秘制作人闪亮空降嗨爆全场！,http://www.bilibili.com/video/av28994879,2018-08-10,195119,2312,4589,瞬间爆炸型LowSing
99,【延禧攻略】天啦噜我们竟然鬼畜了高贵妃！,http://www.bilibili.com/video/av28917785,2018-08-09,194563,636,5083,鸡鸡·夫斯基
100,河北省没水了【电击小子鬼畜配音】,http://www.bilibili.com/video/av29430908,2018-08-15,193115,5319,3269,阿汤喵スープ
101,【一人之下】这就是宝儿姐爱的教育！,http://www.bilibili.com/video/av29968582,2018-08-23,192806,623,4949,推背兔の
102,【王者荣耀·全明星】干了这杯炸裂的农药吧,http://www.bilibili.com/video/av29132702,2018-08-12,190470,2154,4931,小巨人猪大星
103,【第五人格】【瓦不管】遛鬼RAP（虚伪警告）,http://www.bilibili.com/video/av28786883,2018-08-08,188447,956,12547,西风弥撒
104,猫和老鼠鬼畜配音27——相反日,http://www.bilibili.com/video/av30612108,2018-08-29,186793,2093,1495,木糖纯和庄不纯
105,【猫和老鼠】Handclap,http://www.bilibili.com/video/av28569210,2018-08-05,184751,1321,7637,GK几何
106,【全明星热血高校鬼畜配音】庞谷芦苇与芹泽元首的终极对决,http://www.bilibili.com/video/av30285725,2018-08-25,183954,417,2501,随风69
107,【桃奈悠悠】卡路里,http://www.bilibili.com/video/av30297296,2018-08-25,183544,722,1741,S東方不敗
108,【洗脑向】吴亦凡最新trap单曲《又长又宽》,http://www.bilibili.com/video/av28793964,2018-08-08,179251,422,2126,当下Video
109,【DNF】魔界人开启骂街模式，大部分职业被骂回原形，结局出乎意料！,http://www.bilibili.com/video/av30197081,2018-08-24,177573,250,501,岚冬之洁恰
110,【多明星】I Knew You Were Trouble,http://www.bilibili.com/video/av29756175,2018-08-19,177470,921,8222,爱穹妹的小浪浪
111,【洗脑循环】听够了掰掰？那就来一起搅合搅合吧！,http://www.bilibili.com/video/av28937996,2018-08-09,176328,657,3201,EM一Rain
112,【哲学】燃烧你的卡路里,http://www.bilibili.com/video/av29129563,2018-08-12,170583,1294,4814,恒源翔md
113,【崩3+全明星】燃烧你的卡路里,http://www.bilibili.com/video/av30472226,2018-08-27,169611,766,8742,死亡人鱼
114,【刘醒】真·鬼畜无双-刘醒传,http://www.bilibili.com/video/av29645401,2018-08-18,169017,1279,2820,科乐没
115,当猫和老鼠遇到dnf的技能音效【第五期】,http://www.bilibili.com/video/av28555745,2018-08-05,166026,576,679,若终有一天
116,【底特律：亮剑】当李云龙作为谈崩专家去说服旅长时.....01,http://www.bilibili.com/video/av30366920,2018-08-26,165054,138,2115,白夜长路deep丶
117,【鬼畜】大司马旭旭宝宝PDD精彩对决!,http://www.bilibili.com/video/av30630563,2018-08-29,164231,327,2455,旗灬旗
118,《在这里》giao哥最新说唱单曲,http://www.bilibili.com/video/av28239132,2018-08-01,163661,350,2389,橙格尔
119,【哲学】Pump♂it （低分辨率补档）,http://www.bilibili.com/video/av28495742,2018-08-04,163524,816,4330,守望Protector
120,【猫和老鼠】Handclap,http://www.bilibili.com/video/av29181712,2018-08-13,163149,933,3846,爱装逼的卖萌猫
121,【面筋哥】光年之外----光年之外的烤面筋，可带劲了！,http://www.bilibili.com/video/av28451198,2018-08-03,160311,224,535,辰影好无聊
122,厨师长教你一道家常菜“宽油王刚”，很详细的讲解，先收藏了,http://www.bilibili.com/video/av29881079,2018-08-21,159998,139,339,虫蟲
123,【王思聪】校长目标世界赛,http://www.bilibili.com/video/av29798647,2018-08-19,157454,180,1162,良zzZ
124,【鬼畜配音】熊出没-烤面筋的故事,http://www.bilibili.com/video/av29324754,2018-08-14,154893,730,1502,绿影俠
125,【黑镖客Rap】当BUG解说碰到灵魂游戏Ⅱ,http://www.bilibili.com/video/av30260355,2018-08-25,154879,433,3313,菲林君
126,【芋头SAMA】芋头姐姐在线教你做鸡,http://www.bilibili.com/video/av30812534,2018-08-31,154642,208,3125,致明小小GL
127,【中国BOY】让我教你如何把恐怖游戏玩得更丢人！,http://www.bilibili.com/video/av28505850,2018-08-04,153328,1418,2256,ZadAK
128,【王校长】卡路里,http://www.bilibili.com/video/av30441925,2018-08-27,151962,248,2094,大象游戏解说
129,【中国BOY】这个鬼畜会让你想起上学时的恐惧,http://www.bilibili.com/video/av28842050,2018-08-08,150763,1188,1960,ZadAK
130,醒凡领衔多明星【学猫叫】,http://www.bilibili.com/video/av29585316,2018-08-17,149320,831,5482,绿豆KC
131,猫和老鼠亮剑（第七集）,http://www.bilibili.com/video/av28403278,2018-08-03,148340,1734,1933,辉腾之光
132,【哲学电音】Nevada,http://www.bilibili.com/video/av28348534,2018-08-02,147694,1588,5320,緤殇大魔王
133,【全明星ft.吴亦凡】你真skr Bad Girl ！,http://www.bilibili.com/video/av29559109,2018-08-17,146670,696,4120,鸡鸡·夫斯基
