,title,link,date,play_count,danmu_num,favorites,author
0,全新原创单曲「好嗨哟」、感觉人生已经到达了巅峰,http://www.bilibili.com/video/av37218372,2018-12-02,2035109,7610,67792,T2o
1,【央视段子手】朱广权：我一首rap就是一期……天气预报,http://www.bilibili.com/video/av38369360,2018-12-18,1780262,5274,64704,鋃月
2,【全明星】逮虾户,http://www.bilibili.com/video/av38517544,2018-12-20,1718183,5251,85131,一咸菊菊
3,【催泪】卢本伟职业的一生（曾经我也想过一了百了）,http://www.bilibili.com/video/av38685422,2018-12-21,1660036,15257,33732,浅笑安然呐
4,【六小龄童】That 猴,http://www.bilibili.com/video/av39346643,2018-12-30,1635428,3967,47976,埃森棒棒
5,【赵本山&amp;范伟】确认过眼神，晚期就是植物人！,http://www.bilibili.com/video/av39153985,2018-12-28,1556030,4650,72586,洛温阿特金森
6,【六小龄童】以六之名,http://www.bilibili.com/video/av39441740,2018-12-30,1441405,3580,36171,黄浦江畔的芋头酥
7,【Giao哥同名单曲】Giaoger 【1080p】,http://www.bilibili.com/video/av38593172,2018-12-21,1429027,6310,77965,小可儿
8,六小龄童：全世界都在学我说话,http://www.bilibili.com/video/av39077040,2018-12-26,1399039,3077,36370,潮汕好男人
9,【六小龄童】逮猴户,http://www.bilibili.com/video/av39159940,2018-12-27,1216711,2590,26548,柴可夫司徒
10,【六小龄童单曲】敢问路在何方HandClap,http://www.bilibili.com/video/av38975723,2018-12-25,1193480,2981,30371,猫店
11,章承恩对你们忍无可忍了 甚至RAP起来了,http://www.bilibili.com/video/av38887645,2018-12-24,1188206,2037,22744,鬼畜↑可乐♂
12,【六小龄童】六龙珠（中日合拍西游记大片主题曲）,http://www.bilibili.com/video/av39188752,2018-12-28,1123800,3159,28071,浅澄月
13,枪声 - China-X,http://www.bilibili.com/video/av38689954,2018-12-21,1011071,7323,82791,AXBY155
14,【好嗨哟】嗨vana,http://www.bilibili.com/video/av38091632,2018-12-14,962737,2869,29373,小可儿
15,《仙剑皮侠传》第八集-周淑怡大司马旭旭宝宝卢本伟PDD孙亚龙厂长马飞飞,http://www.bilibili.com/video/av37473585,2018-12-06,959074,4804,15440,山海zoom
16,治青春，原来你也要割包皮——大专篇，孙笑川，吴亦凡，卢本伟领衔主演,http://www.bilibili.com/video/av37576158,2018-12-07,958139,8618,33605,可落卧
17,【雷总大合唱】Hello米粉,http://www.bilibili.com/video/av37372311,2018-12-04,956805,4768,36817,十代冥王
18,《改革春风吹满地》洗脑毒中毒，毒上加毒，以毒攻毒！,http://www.bilibili.com/video/av38910288,2018-12-24,923279,1857,15525,点点唐
19,【全明星】小猪挂奇,http://www.bilibili.com/video/av39489453,2018-12-31,844374,3987,56677,我不能悲伤的坐在你身旁-
20,【LexBurner】老蕾的床边故事,http://www.bilibili.com/video/av39147747,2018-12-28,807191,882,28600,大家都叫我M4
21,【特效向】全明星の毁灭战争【上】,http://www.bilibili.com/video/av37208104,2018-12-02,779931,3536,42400,豪言の经理
22,炉石对决!李云龙vs卢姥爷（2）,http://www.bilibili.com/video/av38518117,2018-12-19,697759,1789,12204,教父Tamici
23,【哲学】苏喂♂苏喂,http://www.bilibili.com/video/av38310225,2018-12-16,668608,3342,26584,王思妇丶
24,《头文字·川》上集 孙笑川领衔主演带电影,http://www.bilibili.com/video/av39141287,2018-12-27,638257,3902,20407,TINY老司机
25,【六小龄童×卡路里】我要成为复读机！！！,http://www.bilibili.com/video/av38627364,2018-12-21,598108,1547,10801,Neptunu
26,炉石对决!李云龙vs卢本伟,http://www.bilibili.com/video/av37555226,2018-12-06,590772,1536,16739,教父Tamici
27,【六小龄童】本草纲目,http://www.bilibili.com/video/av39313202,2018-12-29,581236,1361,16885,瞬间爆炸型LowSing
28,【朱广权】在吗？进来听说唱,http://www.bilibili.com/video/av39497887,2018-12-31,570462,2169,22750,倒悬的橘子
29,【全明星】用JOJO的方式打开鬼畜区,http://www.bilibili.com/video/av38579122,2018-12-21,561653,1579,28108,哦呼w
30,【猫和老鼠cf】杰瑞教授教你变强的正确姿势，500强还不简单？,http://www.bilibili.com/video/av37630242,2018-12-07,560454,2927,13602,灰老歪仙
31,[猫和老鼠] 逮猫户,http://www.bilibili.com/video/av37653652,2018-12-08,547166,3305,9518,Red丶bag
32,【鬼畜全明星rap】看什么看，老子爱的就是你！,http://www.bilibili.com/video/av38123292,2018-12-16,511960,3001,22610,倒悬的橘子
33,【六小龄童】穷开花,http://www.bilibili.com/video/av39109145,2018-12-27,505651,1128,14469,因你而在的梦
34,章承恩百般辩解甚至唱起了【沙漠骆驼】,http://www.bilibili.com/video/av38978924,2018-12-25,492514,1002,10924,浅笑安然呐
35,【洪世贤】年骚有为,http://www.bilibili.com/video/av37413028,2018-12-08,489142,2273,10553,瘦肉大为
