,title,link,date,play_count,danmu_num,favorites,author
0,【春晚鬼畜】赵本山：我就是念诗之王！【改革春风吹满地】,http://www.bilibili.com/video/av19390801,2018-02-11,20662483,139951,974326,小可儿
1,【央视段子手】朱广权：我一首rap就是一期节目！,http://www.bilibili.com/video/av19536380,2018-02-13,3847550,8469,143615,鋃月
2,【五五开】中国挂,http://www.bilibili.com/video/av19172525,2018-02-05,2930845,10807,74199,秋名双马尾
3,【春晚鬼畜】赵丽蓉：记住咯，这叫硬核——探戈！,http://www.bilibili.com/video/av19220265,2018-02-06,2691767,12436,106089,还有一天就放假了
4,【五五开】 挂神到！,http://www.bilibili.com/video/av19735747,2018-02-19,2621247,15230,85072,OELoop
5,朱广权：今天台长不在家！！！,http://www.bilibili.com/video/av19357141,2018-02-09,2255506,1168,18409,KeaiOvO
6,【五五开】极乐净土,http://www.bilibili.com/video/av19567897,2018-02-16,2010338,8886,55946,茶几君梦二
7,【大司马】芜湖十年瓜皮故事,http://www.bilibili.com/video/av19078047,2018-02-03,1967006,13425,56747,鋃月
8,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-02,http://www.bilibili.com/video/av19339456,2018-02-09,1861094,9461,62931,浅澄月
9,人工智障粗口集结，听了还想听。,http://www.bilibili.com/video/av18992248,2018-02-01,1758822,2006,20444,我与你拉钩
10,【切割哇啦】体面,http://www.bilibili.com/video/av19681392,2018-02-17,1477357,13081,36461,邻家索尔
11,卢本伟被全网封杀时最后的自白：“我让大家失望了，对不起”,http://www.bilibili.com/video/av19546743,2018-02-13,1337276,5543,12694,sammy711
12,【央视段子手】狗年黑喂狗！,http://www.bilibili.com/video/av19394109,2018-02-10,1167499,2231,32632,倒悬的橘子
13,【全明星】祝你新年身体被掏空,http://www.bilibili.com/video/av19701011,2018-02-17,1166162,5013,23223,女孩为何穿短裙
14,【鬼畜】看我楚云飞98k一发入魂,http://www.bilibili.com/video/av19267399,2018-02-07,997700,884,7692,乔安舅舅
15,【央视段子手朱广权】全程高能，谁能有我皮？,http://www.bilibili.com/video/av19725148,2018-02-18,985890,844,14467,小丧诗
16,【特效向】拳♂皇Ⅱ：无尽之战,http://www.bilibili.com/video/av19867855,2018-02-21,923511,3340,22676,豪言の经理
17,300英♂雄,http://www.bilibili.com/video/av19813904,2018-02-20,923316,3726,22243,上海滩许Van强
18,【快视频】pop醒和copy周的吔常,http://www.bilibili.com/video/av19865184,2018-02-21,886827,4223,20998,浅澄月
19,神似高晓松的流浪汉演唱腾格尔《天堂》——面筋哥的烤面筋之歌,http://www.bilibili.com/video/av20169696,2018-02-28,866999,2340,2238,王友锋
20,【宝莲灯】灯芯不灭,http://www.bilibili.com/video/av19508183,2018-02-12,858253,8398,42639,非桥段
21,【卢本伟】刚好开了挂（刚好遇见你）,http://www.bilibili.com/video/av19889696,2018-02-22,845509,3361,16066,加藤海灵顿
22,【哲学】父♂亲,http://www.bilibili.com/video/av19123746,2018-02-04,804197,9083,28946,卖大碗茶的
23,【五五开】上了CCTV却依旧嚣张【改革春风吹满地】,http://www.bilibili.com/video/av19802851,2018-02-20,774792,1857,3440,碧天蓝钻
24,【人工智障】花Q~乳牛,http://www.bilibili.com/video/av19362720,2018-02-09,758481,943,5599,肥宅__
25,【钉宫病】众患者：我好兴奋呀，我好兴奋呀，求你再骂我一次！,http://www.bilibili.com/video/av19459536,2018-02-11,726618,6257,49525,约谈人参
26,【马化腾】本草纲目,http://www.bilibili.com/video/av19798303,2018-02-21,681156,4101,21943,菲林君
27,【春晚全明星】某央视牌面主播给大家拜年啦！,http://www.bilibili.com/video/av19630612,2018-02-15,677765,8547,14282,冷面Lim
28,我在东北♂玩泥巴,http://www.bilibili.com/video/av20153945,2018-02-28,666512,3672,22023,一咸菊菊
29,口袋♂妖怪,http://www.bilibili.com/video/av19254481,2018-02-07,661248,2637,31586,娱人
30,【家有儿女】全家一起RAP快乐崇拜,http://www.bilibili.com/video/av19484593,2018-02-12,651799,3492,19654,潮汕好男人
31,【崩坏3】轮到芽衣给你洗脑了~~舰长，芽衣有些在意呢,http://www.bilibili.com/video/av19137192,2018-02-04,648186,3477,36424,白谱
32,【切割哇啦】说偷就偷,http://www.bilibili.com/video/av19368937,2018-02-09,647045,4992,14917,邻家索尔
33,猫和鬼畜配音16—最终圣战,http://www.bilibili.com/video/av19417912,2018-02-10,645162,10851,10003,木糖纯和庄不纯
34,【五五开】卢本伟的广场，无人的走廊,http://www.bilibili.com/video/av19527590,2018-02-13,608710,2834,11908,猫店
