,title,link,date,play_count,danmu_num,favorites,author
0,【夺命Rap】我杀我自己,http://www.bilibili.com/video/av35125956,2018-11-02,2147013,10301,63883,伊丽莎白鼠
1,【冷面作品】《痔青春·下集》孙笑川 X 吴亦凡,http://www.bilibili.com/video/av36511599,2018-11-22,1894416,24697,47136,冷面Lim
2,【冷面作品】《痔青春·上集》孙笑川 X 吴亦凡,http://www.bilibili.com/video/av35945993,2018-11-14,1876892,14494,48988,冷面Lim
3,不♂该,http://www.bilibili.com/video/av35582226,2018-11-09,1765463,16578,60159,泽野螳螂
4,【波澜潮流】用JOJO的方式打开波澜哥,http://www.bilibili.com/video/av35546960,2018-11-08,1212029,3396,51612,哦呼w
5,【好嗨哦】感觉人生达到了高潮，感觉人生达到了巅峰！,http://www.bilibili.com/video/av35253672,2018-11-04,1043459,2148,22377,昔日友人
6,【庞麦郎】逮虾婆,http://www.bilibili.com/video/av35045713,2018-11-02,999624,2643,33322,小可儿
7,【迷之RAP】东北妹子帮闺蜜捉奸:我tm是你奶！,http://www.bilibili.com/video/av35373649,2018-11-05,937968,1939,27046,此物天下绝响
8,【全明星】deja vu,http://www.bilibili.com/video/av36008832,2018-11-15,910468,1836,27617,痒局长
9,郎♂的诱惑,http://www.bilibili.com/video/av36675533,2018-11-24,850720,2413,19239,van漾の男魂亚suck
10,《皮影忍者》第一集-PDD卢本伟旭旭宝宝大司马,http://www.bilibili.com/video/av35423998,2018-11-06,808027,3441,24553,山海zoom
11,逮♂虾户,http://www.bilibili.com/video/av35440232,2018-11-06,805180,2359,11277,放克大爷
12,【社会RAP】寒王听了想打人系列,http://www.bilibili.com/video/av35627597,2018-11-10,789137,2076,21517,calmeva
13,鬼畜新世界17 鬼畜惊魂夜（上）,http://www.bilibili.com/video/av36262776,2018-11-18,781441,7441,26805,三木刃
14,【沙漠骆驼】沙漠羊驼！,http://www.bilibili.com/video/av35520237,2018-11-08,765866,3002,40442,OELoop
15,【华农兄弟】沙漠香猪,http://www.bilibili.com/video/av35707520,2018-11-11,763148,3298,33395,红色激情
16,【DNF】送你日不落的阿破克烈！！！！！！！,http://www.bilibili.com/video/av36453155,2018-11-21,714498,1700,9012,泽野螳螂
17,【冯巩】我就是念诗之王！,http://www.bilibili.com/video/av36657833,2018-11-24,675895,1583,11729,小白菌_Ads
18,老爷爷打铁：打出一首《未闻花名》,http://www.bilibili.com/video/av36106112,2018-11-17,663253,2331,18533,点点唐
19,【浅澄月制作】《底特律：吔人》第二话（60帧丝滑享受）,http://www.bilibili.com/video/av36589162,2018-11-24,641741,2827,13097,浅澄月
20,PDD与五五开的卖瓜奇遇记,http://www.bilibili.com/video/av36246614,2018-11-18,632897,493,9818,虹桥暗杀之星
21,【超炸REMIX】嘴巴嘟嘟嘟嘟嘟嘟.FLAC,http://www.bilibili.com/video/av37068495,2018-11-30,625524,4535,10247,小可儿
22,【哲学】空♂空如也,http://www.bilibili.com/video/av36946239,2018-11-28,623912,5539,27250,王思妇丶
23,真•正的《打上花火》听过没？,http://www.bilibili.com/video/av35770789,2018-11-11,586480,2814,32677,点点唐
24,仙剑皮侠传第七集-旭旭宝宝卢本伟厂长大司马孙亚龙PDD周淑怡马飞飞,http://www.bilibili.com/video/av35124899,2018-11-02,574110,4175,13208,山海zoom
25,【痴鸡小队】穷吃鸡,http://www.bilibili.com/video/av35078250,2018-11-01,511145,1330,9867,泉下不识
26,【全明星】快和我一起秒杀吧！,http://www.bilibili.com/video/av35005580,2018-11-01,503317,1624,22610,痒局长
27,【解说超燃RAP】我们是冠军！【庆祝IG夺冠】,http://www.bilibili.com/video/av35567554,2018-11-08,484006,1817,27125,那年的黄昏
28,【吔屎斗士】用JOJO的主题曲打开刘醒非凡-STAND PROUD,http://www.bilibili.com/video/av35741804,2018-11-11,482954,942,17201,冰攻厂BeSo
29,【暴躁林品如】为什么你没把我当成一家人？为什么！,http://www.bilibili.com/video/av35782568,2018-11-12,458207,1747,9033,潮汕好男人
30,一giao超人,http://www.bilibili.com/video/av36513794,2018-11-22,452732,1495,13811,你的昵称叫男孩子
31,毒♂液,http://www.bilibili.com/video/av36171989,2018-11-17,441794,925,6772,瞑浔Sabri
32,逮♂虾户,http://www.bilibili.com/video/av35052225,2018-11-02,426265,1959,20069,瞬间爆炸型LowSing
33,【全明星】纪念这些年的鬼畜历程,http://www.bilibili.com/video/av37078285,2018-11-30,406126,1490,15045,瞬间爆炸型LowSing
34,【纪晓岚】音乐才子纪侍郎，嘻哈尚书和中堂,http://www.bilibili.com/video/av35292747,2018-11-04,403649,3665,14485,王思妇丶
35,逮虾♂户,http://www.bilibili.com/video/av36244612,2018-11-18,397163,808,6095,后顾顾顾顾顾
36,老爷爷打铁:打出一首《逮虾户》,http://www.bilibili.com/video/av36524624,2018-11-22,389902,1257,7130,点点唐
37,【鬼畜配音】猫和老鼠12：两只灰鼠,http://www.bilibili.com/video/av35063304,2018-11-02,385618,3764,13278,致远SL
38,【黑人种族天赋】嗅得我头皮发麻,http://www.bilibili.com/video/av36664020,2018-11-24,384325,877,15243,Mr_Tear
39,寒王历险记,http://www.bilibili.com/video/av35889327,2018-11-13,378687,1883,9260,你的昵称叫男孩子
40,【朱广权】央视段子手进博会上报菜名,http://www.bilibili.com/video/av35607833,2018-11-09,363694,825,3948,共青团中央
41,【尼禄药丸】人参赢家：我好激动呀，皇帝要嫁给我当老婆了！,http://www.bilibili.com/video/av35219233,2018-11-03,362568,2339,26902,约谈人参
42,广东人vs王,http://www.bilibili.com/video/av36226218,2018-11-18,349601,2014,14438,老衲尔多
43,【全明星】筋击的巨人,http://www.bilibili.com/video/av36427927,2018-11-21,338567,1597,20995,娱人
44,《名侦探波澜》——全明星鬼畜剧op,http://www.bilibili.com/video/av35896390,2018-11-15,334880,1279,13201,一咸菊菊
45,【伊莉雅Play】人参赢家：我好激动好兴奋呀，老婆今天终于嫁给我了！,http://www.bilibili.com/video/av36669189,2018-11-24,328424,2260,22434,约谈人参
46,【刘醒&amp;梁非凡】吔人之昆特牌：非凡的陨落,http://www.bilibili.com/video/av36085163,2018-11-16,317712,753,7103,浅澄月
47,芦苇开挂的朋友找到了！,http://www.bilibili.com/video/av36005395,2018-11-15,315894,316,4797,鸡鸡·夫斯基
48,【暴躁阁老】这样说是不是有点太伤他...伤你妈的头！！！,http://www.bilibili.com/video/av35356630,2018-11-05,310766,2140,10484,还有一天就放假了
49,【孙笑川X吴亦凡】黑客带国,http://www.bilibili.com/video/av37092769,2018-11-30,298935,464,3086,铁龙鸣Iron_Farmer
50,进来背诵E筋经！！！！！,http://www.bilibili.com/video/av36528867,2018-11-22,298168,511,3165,明月丶Bert
51,【年少有为】卢本伟的内心独白,http://www.bilibili.com/video/av35587603,2018-11-09,298082,1317,3557,曦曜君
52,【全明星】Shape of You,http://www.bilibili.com/video/av35164664,2018-11-03,281204,1990,18245,文临z
53,【爱情公寓】Handclap,http://www.bilibili.com/video/av35282158,2018-11-04,257798,1428,11829,Xy帽子
54,【哲学】尻♂路里,http://www.bilibili.com/video/av35628417,2018-11-09,256272,1452,3823,机智的崔西
55,【黑镖客×老番茄】当黑镖客闯入老番茄的视频时,http://www.bilibili.com/video/av35171638,2018-11-03,243567,295,5150,晴风dada
56,【DNF小剧场01】阿拉德线上会所开业大吉,http://www.bilibili.com/video/av35252810,2018-11-04,236441,908,4995,小巨人猪大星
57,【LexBurner单曲】沙漠电站：论如何成为B站最大爱力发电机,http://www.bilibili.com/video/av36653837,2018-11-25,230653,500,7032,冰攻厂BeSo
58,朋♂友,http://www.bilibili.com/video/av35290948,2018-11-04,229629,1877,7288,似乎一脸懵逼
59,【义结筋澜】灌醉我,http://www.bilibili.com/video/av35660593,2018-11-10,217548,547,4334,小可儿
60,《Lemon》非自然 打铁 ！,http://www.bilibili.com/video/av35994866,2018-11-15,199973,669,8266,点点唐
61,【老骚豆腐】我是一个灵魂Rap手,http://www.bilibili.com/video/av36655814,2018-11-24,187849,845,14142,一点都不皮em
62,【全明星】刀剑神域,http://www.bilibili.com/video/av35527037,2018-11-08,184157,765,8022,娱人
63,跟着皮卡丘一起感受十万伏特的速度吧 ！！！,http://www.bilibili.com/video/av35458152,2018-11-07,177759,367,1297,约谈人参
64,【猫和老鼠cf】杰瑞能否带两个萌新晋级枪神，夺回500强,http://www.bilibili.com/video/av36515746,2018-11-22,177340,1517,4467,灰老歪仙
65,【第五人格】求求你做个碟吧！！！,http://www.bilibili.com/video/av36143458,2018-11-17,163610,911,19111,小天不是受QAQ
66,如果我不开挂你会爱我吗？【卢姥爷一周年纪念作】午夜DJ,http://www.bilibili.com/video/av36571688,2018-11-23,160504,1230,5069,天真的小马
67,光♂明,http://www.bilibili.com/video/av35547657,2018-11-14,159151,911,5439,可樂C
68,寒王最新rap曲《没有实力别赛脸》,http://www.bilibili.com/video/av35547805,2018-11-08,157324,678,5251,枪弹轨迹
69,孙笑川嘴臭经典名场面rap,http://www.bilibili.com/video/av36896762,2018-11-27,155012,103,1693,狄仁杰操丧尸
70,【鬼畜全明星】刀山火海2018 抖腿向,http://www.bilibili.com/video/av35667707,2018-11-10,154701,899,7555,幻想乡的老大爷
71,【黑镖客】燃烧我的拖拉机,http://www.bilibili.com/video/av35675669,2018-11-10,154408,756,4501,凌光特西Dawn-Tasy
72,【沙漠骆驼】章鱼哥,http://www.bilibili.com/video/av36061200,2018-11-16,154380,593,4751,しんげきの金木君
73,【猫和老鼠】逮虾户,http://www.bilibili.com/video/av36521621,2018-11-22,149525,456,2090,点份大碗饭
74,【黑镖客】沙漠骆驼,http://www.bilibili.com/video/av36755009,2018-11-25,147113,403,1666,凌光特西Dawn-Tasy
75,【哲学】shit♂dark快乐,http://www.bilibili.com/video/av37091975,2018-11-30,144226,1198,4168,Hiker_希克君
76,【琴魔对决3】神仙对决的第三次琴魔大战！开头居然就弹我老婆的歌（滑稽）,http://www.bilibili.com/video/av36659411,2018-11-24,141069,1578,6211,卧室菌
77,【成龙历险记】沙漠骆驼,http://www.bilibili.com/video/av35711788,2018-11-11,139239,452,3439,PC大豆
78,埃及旅游宣传片,http://www.bilibili.com/video/av36647524,2018-11-24,136520,556,3640,靓仔叁零肆
79,【动画♂城】天上掉下个♂熏八戒,http://www.bilibili.com/video/av36814292,2018-11-26,132770,434,4183,天真的小马
80,【洗浴之歌】我的大宝剑,http://www.bilibili.com/video/av35005421,2018-11-01,132079,276,2380,推背兔の
81,【五五开】That Gua,http://www.bilibili.com/video/av36224481,2018-11-18,130422,605,3048,叫我呆萌少年
82,【五五开】最爱还是挂,http://www.bilibili.com/video/av36304735,2018-11-19,127458,314,1019,鸡鸡·夫斯基
83,你吹的什么玩意儿？沙漠骆驼！~注入灵魂，全程高燃。,http://www.bilibili.com/video/av35550816,2018-11-08,125154,390,1797,天真的小马
84,【王刚单曲】哈喽大家好，他是王刚，今天他要分享《handclap》,http://www.bilibili.com/video/av35892821,2018-11-14,121944,187,1968,猫店
85,【Giao】路灯下的小阿giao,http://www.bilibili.com/video/av36577800,2018-11-23,120917,360,2457,鸡鸡·夫斯基
86,【灵寒子最新单曲】巴啦啦小寒王,http://www.bilibili.com/video/av36137260,2018-11-17,119017,358,3377,在下豆子君
87,【旺旺】李子明同学请注意,http://www.bilibili.com/video/av35483460,2018-11-07,118767,309,2421,小可儿
