,title,link,date,play_count,danmu_num,favorites,author
0,【杨超越车祸】98k+调音师上线中,http://www.bilibili.com/video/av24629466,2018-06-10,3409292,3863,10169,梨白Shiro
1,【王思妇】不仅仅是喜欢 （重制）,http://www.bilibili.com/video/av25575157,2018-06-25,2685207,21030,74762,王思妇丶
2,【全明星】bboom bboom,http://www.bilibili.com/video/av25308588,2018-06-28,2329034,23278,99464,痒局长
3,夜的♂第七章,http://www.bilibili.com/video/av25355366,2018-06-22,2069203,8621,40885,泽野螳螂
4,全明星鬼畜《成龙历险记》,http://www.bilibili.com/video/av24687297,2018-06-11,1954986,9680,27711,你的昵称叫男孩子
5,【全明星】学猫叫,http://www.bilibili.com/video/av25316857,2018-06-21,1541971,5476,50049,推背兔の
6,【Giao爷】最新洗脑炸裂trap单曲《China Giao》,http://www.bilibili.com/video/av24493613,2018-06-07,1474263,2945,35628,倒悬的橘子
7,【王境泽】醉拳,http://www.bilibili.com/video/av24372437,2018-06-07,1358864,4263,35035,痒局长
8,【Giao哥】Giao忍,http://www.bilibili.com/video/av24563191,2018-06-08,1079895,5679,34759,小可儿
9,【卖鞋哥X手套哥】你的手套我的鞋,http://www.bilibili.com/video/av25252315,2018-06-20,999850,1931,27459,倒悬的橘子
10,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-06,http://www.bilibili.com/video/av24974697,2018-06-16,996163,3835,18854,浅澄月
11,【朱广权饶舌】当央视段子手遇上世界杯,http://www.bilibili.com/video/av25754222,2018-06-28,982358,3015,31577,倒悬的橘子
12,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-05,http://www.bilibili.com/video/av24304690,2018-06-03,946960,5534,20066,浅澄月
13,彩♂虹六号,http://www.bilibili.com/video/av25478094,2018-06-28,869883,4072,27056,上海滩许Van强
14,【哲学】学猫叫,http://www.bilibili.com/video/av25151131,2018-06-18,781327,2508,15987,后顾顾顾顾顾
15,【3D哲学/剧情/特效】哲学超：极限突破【01】,http://www.bilibili.com/video/av24988116,2018-06-16,777241,5187,40163,一个可丽饼
16,【优酷哥】上传B站！我有大会员，understand？,http://www.bilibili.com/video/av24203987,2018-06-01,754332,1723,8382,还有一天就放假了
17,【诸葛王朗】离人愁,http://www.bilibili.com/video/av24925261,2018-06-15,713973,5811,28518,瞬间爆炸型LowSing
18,【手套哥】饿狼传说,http://www.bilibili.com/video/av25201719,2018-06-19,647728,3147,11833,浅笑安然呐
19,【猫和老鼠】学猫叫,http://www.bilibili.com/video/av25429183,2018-06-23,627528,2652,13399,浅唱、那回忆
20,【面筋哥x波澜哥】 筋澜高手,http://www.bilibili.com/video/av25544643,2018-06-26,601146,3383,23635,OELoop
21,你听过这么鬼畜的黑凤梨吗？,http://www.bilibili.com/video/av25361598,2018-06-22,601080,16856,27370,瞬间爆炸型LowSing
22,【杨超越】时间宝贵 ☆ 全力去追,http://www.bilibili.com/video/av24669669,2018-06-10,572976,2070,6201,A路人
23,【8848】学猫叫,http://www.bilibili.com/video/av25877194,2018-06-30,551378,4167,18307,屁微Raa
