,title,link,date,play_count,danmu_num,favorites,author
0,【某幻君rap】当B站知名UP主遇到中国新说唱...,http://www.bilibili.com/video/av27801961,2018-07-27,3003494,16751,131040,倒悬的橘子
1,央视喝水狂魔朱广权聊世界杯：我真的研究说唱很久了！（短板）,http://www.bilibili.com/video/av28047466,2018-07-30,2113689,4270,30965,野生的大水狗
2,江♂南,http://www.bilibili.com/video/av27191671,2018-07-19,1925821,15006,36507,泽野螳螂
3,【央视段子手】朱广权：我一首rap就是一届世界杯！,http://www.bilibili.com/video/av25939440,2018-07-01,1905023,4287,54651,鋃月
4,【全明星说唱】一首动感的忍者也太skr了,http://www.bilibili.com/video/av27238431,2018-07-21,1267327,5193,41986,倒悬的橘子
5,《仙剑皮侠传》第三集-大司马卢本伟呆妹PDD厂长明凯,http://www.bilibili.com/video/av26264323,2018-07-06,1202143,6938,12425,山海zoom
6,【洗脑循环】麻麻！我在掰掰里走不出去了！,http://www.bilibili.com/video/av27669257,2018-07-25,1157737,17783,21695,爱做饭的芋头SAMA
7,【走近科学】卢本伟好想你,http://www.bilibili.com/video/av27258532,2018-07-20,1101681,3255,12603,猫店
8,【工作细胞】十分抱歉，前方正在打碟中,http://www.bilibili.com/video/av26948964,2018-07-16,1100647,3255,27719,咕咕咕咕古谷楓
9,【央视段子手】朱广权：世界杯怎能少了我？,http://www.bilibili.com/video/av26152573,2018-07-05,1100535,2059,16213,猫店
10,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-08,http://www.bilibili.com/video/av28143467,2018-07-31,977860,5291,19979,浅澄月
11,鬼畜新世界15 新少林足球,http://www.bilibili.com/video/av26933191,2018-07-15,971273,17977,26917,三木刃
12,【吕子乔】核爆神曲,http://www.bilibili.com/video/av27729258,2018-07-26,931007,7614,32550,致远SL
13,【刘醒&amp;梁非凡】pop醒和pipi凡的吔常-07,http://www.bilibili.com/video/av26957825,2018-07-16,894222,5535,16727,浅澄月
14,当鬼畜区三巨头遇上泽野弘之,http://www.bilibili.com/video/av27136498,2018-07-19,869257,2570,17744,瞬间爆炸型LowSing
