,title,link,date,play_count,danmu_num,favorites,author
0,【六小龄童】Something Just Like This,http://www.bilibili.com/video/av39573474,2018-12-31,3458168,20621,202984,柴可夫司徒
1,【抖快四巨头】nobody,http://www.bilibili.com/video/av38251412,2018-12-16,2655442,8043,81789,LLLLLLLLqr
2,【六小龄童】Poker Face,http://www.bilibili.com/video/av38884670,2018-12-24,1599136,3674,38049,红豆稀饭中
3,【圣地亚哥金曲】藏，超好听的中国风电音鬼畜！,http://www.bilibili.com/video/av38045930,2018-12-15,1268597,7697,75683,还有一天就放假了
4,【六小龄童】保加利亚猴王,http://www.bilibili.com/video/av39133882,2018-12-27,1239930,3581,28361,萌田羽织
5,【五五开】一年了，想你了,http://www.bilibili.com/video/av37996840,2018-12-12,1138696,15517,23853,冷瓜总是那么智障
6,【马云】忘钱水,http://www.bilibili.com/video/av39309600,2018-12-29,1069134,6717,53043,XiaoLLK
7,【周星驰】lemon,http://www.bilibili.com/video/av38653162,2018-12-22,1058045,3688,59577,骑牛崩山撞海
8,【全明星】光年之外（催泪慎入）,http://www.bilibili.com/video/av37456790,2018-12-05,945160,8742,83240,采紫葳的凌霄子
9,【全明星】真正的giao可带劲啦！,http://www.bilibili.com/video/av38045968,2018-12-15,910766,4173,47495,潮汕好男人
10,【六小龄童】改革春风吹满地，西游文体两开花,http://www.bilibili.com/video/av39146907,2018-12-27,840999,1396,11493,采紫葳的凌霄子
11,【卢本伟一周年】以挂之名（全程高能）,http://www.bilibili.com/video/av38444164,2018-12-18,807970,2383,10414,爱訁葉
12,【面筋哥】光年之外-面筋哥b站归来！,http://www.bilibili.com/video/av38099232,2018-12-14,773868,2747,16104,红色激情
13,【鬼畜大串烧】刚好遇见病名为上火的不一样的shape of that girl,http://www.bilibili.com/video/av38311881,2018-12-17,706838,5875,51422,采紫葳的凌霄子
14,赵本山改革春风吹满地火了之后，宋丹丹也唱了一首：你火了我受不了！,http://www.bilibili.com/video/av38722036,2018-12-22,668874,1977,6399,一风录音棚
15,【六小龄童】好运莱,http://www.bilibili.com/video/av39036929,2018-12-26,595815,2150,21592,纽毕斯
16,【DNF·lite】好嗨呦,http://www.bilibili.com/video/av37794398,2018-12-09,546257,675,9044,小巨人猪大星
17,【全明星】POP/STARS - 鬼畜天团最新MV助力鬼畜区全明星赛,http://www.bilibili.com/video/av38153361,2018-12-15,525212,2505,33946,浅澄月
18,【六小龄童】六元甲,http://www.bilibili.com/video/av39131293,2018-12-27,492079,1099,11549,蟑螂侠OL
19,【华农兄弟】可不可以,http://www.bilibili.com/video/av37576684,2018-12-07,463028,2188,11555,红色激情
20,【全明星翻唱经典】Where&#39;d you go . 过年你回家吗?,http://www.bilibili.com/video/av38442779,2018-12-19,441378,1871,19606,推背兔の
21,【六小龄童】盗将行,http://www.bilibili.com/video/av39556921,2018-12-31,426277,2842,23088,Alien霸霸
